Region,salaire-net-2012,salaire-net-2013,salaire-net-2014
Guadeloupe,13.2,13.5,13.7
Martinique,13.0,13.3,13.5
Guyane,13.8,14.2,14.3
La Réunion,12.5,12.7,12.8
Île-de-France,17.4,17.9,18.2
Centre-Val de Loire,12.8,13.2,13.3
Bourgogne-Franche-Comté,12.4,12.7,12.8
Normandie,12.8,13.1,13.2
Hauts-de-France,12.8,13.2,13.3
Grand Est,12.7,13.0,13.2
Pays de la Loire,12.4,12.8,12.9
Bretagne,12.3,12.7,12.8
Nouvelle-Aquitaine,12.4,12.8,12.9
Occitanie,12.9,13.3,13.4
Auvergne-Rhône-Alpes,13.3,13.8,14.0
Provence-Alpes-Côte d'Azur,13.3,13.7,13.9
Corse,12.0,12.4,12.5
