Region,salaire-moyen-cadre-sup,salaire-moyen-prof-inter,salaire-moyen-employe,salaire-moyen-ouvrier,salaire-net-hor
Guadeloupe,26.5,15.7,11.2,11.0,13.8
Martinique,26.4,15.4,11.0,11.1,13.7
Guyane,27.9,16.8,11.1,10.9,14.5
La Réunion,25.4,14.8,10.5,10.7,12.8
Île-de-France,29.4,16.0,11.7,12.1,18.4
Centre-Val de Loire,24.0,14.5,10.5,11.1,13.4
Bourgogne-Franche-Comté,23.4,14.2,10.3,11.0,12.9
Normandie,24.1,14.7,10.4,11.3,13.3
Hauts-de-France,23.9,14.4,10.5,11.1,13.4
Grand Est,23.9,14.5,10.4,11.2,13.3
Pays de la Loire,23.3,13.9,10.4,10.9,13.1
Bretagne,23.1,14.0,10.3,10.7,12.9
Nouvelle-Aquitaine,23.7,14.2,10.3,10.8,13.1
Occitanie,23.7,14.2,10.3,10.8,13.6
Auvergne-Rhône-Alpes,24.6,14.6,10.7,11.3,14.1
Provence-Alpes-Côte d'Azur,24.7,14.6,10.5,11.2,14.0
Corse,22.5,15.1,10.2,10.8,12.6
